countrycode,countryname,adminone,adminlevel,date,datatype,indicator name,population,prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#date,#data+type,#indicator+name,#population,#indicator+prevalence
NGA,Nigeria,,national,2024-11-20,MIXED,market access,36601038,0.22860789094208828
NGA,Nigeria,,national,2024-11-19,MIXED,fcs,100860928,0.49744363375808265
NGA,Nigeria,,national,2024-11-19,MIXED,rcsi,57558175,0.28387551346427853
NGA,Nigeria,,national,2024-11-19,MIXED,health access,33521793,0.5148100257269075
NGA,Nigeria,,national,2024-11-19,MIXED,market access,36642027,0.228863899171466
NGA,Nigeria,,national,2024-11-18,MIXED,fcs,100790762,0.49709757675961563
NGA,Nigeria,,national,2024-11-18,MIXED,rcsi,57599724,0.284080432117605
NGA,Nigeria,,national,2024-11-18,MIXED,health access,33638214,0.5182700371645359
NGA,Nigeria,,national,2024-11-18,MIXED,market access,36642825,0.22886889004104277
NGA,Nigeria,,national,2024-11-17,MIXED,fcs,100876527,0.49752056764513736
NGA,Nigeria,,national,2024-11-17,MIXED,rcsi,57563832,0.28390340485327803
NGA,Nigeria,,national,2024-11-17,MIXED,health access,33796926,0.5204267040530893
NGA,Nigeria,,national,2024-11-17,MIXED,market access,36707949,0.22927565563297908
NGA,Nigeria,,national,2024-11-16,MIXED,fcs,100938631,0.4978268630564875
NGA,Nigeria,,national,2024-11-16,MIXED,rcsi,57181286,0.2820166853456297
NGA,Nigeria,,national,2024-11-16,MIXED,health access,33583256,0.5184703545967417
NGA,Nigeria,,national,2024-11-16,MIXED,market access,36812940,0.2299314181411369
NGA,Nigeria,,national,2024-11-15,MIXED,fcs,100808913,0.49718709704834774
NGA,Nigeria,,national,2024-11-15,MIXED,rcsi,56893513,0.28059741671207616
NGA,Nigeria,,national,2024-11-15,MIXED,health access,33703553,0.5194290009123392
NGA,Nigeria,,national,2024-11-15,MIXED,market access,36813595,0.22993550923190229
NGA,Nigeria,,national,2024-11-14,MIXED,fcs,101132760,0.4987843025436378
NGA,Nigeria,,national,2024-11-14,MIXED,rcsi,56540642,0.27885706555758505
NGA,Nigeria,,national,2024-11-14,MIXED,health access,33476519,0.517441492125003
NGA,Nigeria,,national,2024-11-14,MIXED,market access,36988871,0.23103027262885203
NGA,Nigeria,,national,2024-11-13,MIXED,fcs,101242980,0.49932790489194073
NGA,Nigeria,,national,2024-11-13,MIXED,rcsi,56436411,0.2783429743399399
NGA,Nigeria,,national,2024-11-13,MIXED,health access,33675516,0.5198994365570686
NGA,Nigeria,,national,2024-11-13,MIXED,market access,37078678,0.23159120177140358
